season_x,week_x,game_id,home_team,away_team,home_spread_close,over_under_line,stadium_roof_effective,stadium_surface,home_favorite,home_qb_epa_per_play,away_qb_epa_per_play,season_y,week_y,home_TEAM_qb_epa_per_play_L3,home_TEAM_success_rate_L3,season,week,away_TEAM_qb_epa_per_play_L3,away_TEAM_success_rate_L3
2025,9,2025_09_BAL_MIA,MIA,BAL,-7.5,50.5,outdoors,grass,1,,,,,,,,,,
2025,9,2025_09_CHI_CIN,CIN,CHI,-2.5,52.5,outdoors,fieldturf,1,,,,,,,,,,
2025,9,2025_09_MIN_DET,DET,MIN,8.5,47.5,dome,fieldturf,0,,,,,,,,,,
2025,9,2025_09_CAR_GB,GB,CAR,12.5,44.5,outdoors,grass,0,,,,,,,,,,
2025,9,2025_09_DEN_HOU,HOU,DEN,1.5,39.5,closed,astroturf,0,,,,,,,,,,
2025,9,2025_09_ATL_NE,NE,ATL,5.5,44.5,outdoors,fieldturf,0,,,,,,,,,,
2025,9,2025_09_SF_NYG,NYG,SF,-2.5,48.5,outdoors,fieldturf,1,,,,,,,,,,
2025,9,2025_09_IND_PIT,PIT,IND,-3.0,50.5,outdoors,grass,1,,,,,,,,,,
2025,9,2025_09_LAC_TEN,TEN,LAC,-9.5,43.5,outdoors,grass,1,,,,,,,,,,
2025,9,2025_09_NO_LA,LA,NO,14.0,44.5,dome,matrixturf,0,,,,,,,,,,
2025,9,2025_09_JAX_LV,LV,JAX,-3.0,45.5,dome,grass,1,,,,,,,,,,
2025,9,2025_09_KC_BUF,BUF,KC,-2.5,52.5,outdoors,a_turf,1,,,,,,,,,,
2025,9,2025_09_SEA_WAS,WAS,SEA,-3.0,47.5,outdoors,grass,1,,,,,,,,,,
2025,9,2025_09_ARI_DAL,DAL,ARI,2.5,54.5,closed,matrixturf,0,,,,,,,,,,
