team,week,year,total_injuries,out_count,questionable_count,ir_count,qb_status,ol_injured
Falcons,22,2024,14,0,0,0,healthy,0
Bills,22,2024,9,0,0,0,healthy,0
Panthers,22,2024,12,0,0,0,healthy,3
Bears,22,2024,11,0,0,0,healthy,1
Bengals,22,2024,9,0,0,0,healthy,1
Colts,22,2024,10,0,0,0,healthy,1
Cardinals,22,2024,8,0,0,0,healthy,0
Cowboys,22,2024,13,0,0,0,healthy,2
Broncos,22,2024,6,0,0,0,healthy,1
Lions,22,2024,9,0,0,0,healthy,0
,22,2024,0,0,0,0,healthy,0
Texans,22,2024,10,0,0,0,healthy,0
Jaguars,22,2024,9,0,0,0,healthy,0
Dolphins,22,2024,13,1,4,0,healthy,0
Vikings,22,2024,9,0,0,0,healthy,0
Giants,22,2024,13,0,0,0,healthy,0
Titans,22,2024,13,0,0,0,healthy,2
Steelers,22,2024,16,0,0,0,healthy,2
Rams,22,2024,4,0,0,0,healthy,0
Ravens,22,2024,5,0,0,0,healthy,0
Chargers,22,2024,13,0,0,0,healthy,1
Seahawks,22,2024,13,0,0,0,healthy,0
Commanders,22,2024,11,0,0,0,healthy,0
