qb_name,appearances,QB_comp_pct_L3,QB_comp_pct_L5,QB_dropbacks_L3,QB_dropbacks_L5,QB_int_rate_L3,QB_int_rate_L5,QB_qb_epa_per_play_L3,QB_qb_epa_per_play_L5,QB_sack_rate_L3,QB_sack_rate_L5,QB_success_rate_L3,QB_success_rate_L5,QB_ypa_L3,QB_ypa_L5,TEAM_comp_pct_L3,TEAM_comp_pct_L5,TEAM_dropbacks_L3,TEAM_dropbacks_L5,TEAM_int_rate_L3,TEAM_int_rate_L5,TEAM_qb_epa_per_play_L3,TEAM_qb_epa_per_play_L5,TEAM_sack_rate_L3,TEAM_sack_rate_L5,TEAM_success_rate_L3,TEAM_success_rate_L5,TEAM_ypa_L3,TEAM_ypa_L5,moneyline,qb_epa_per_play,qb_success_rate,rest,score,spread_odds
A.J. McCarron,1,,,,,,,,,,,,,,,0.5768,0.5973,44.0,38.4,0.0456,0.0338,0.0563,0.1633,0.0673,0.0675,0.4282,0.4666,6.4223,7.4474,308.0,-0.0675,0.4444,7.0,14.0,-117.0
Aaron Rodgers,103,0.6171,0.6182,37.9902,38.0446,0.0083,0.0088,0.1826,0.1828,0.0583,0.0582,0.4882,0.4888,7.0134,7.0193,0.6136,0.614,38.0588,38.1917,0.011,0.011,0.1668,0.1646,0.0567,0.0569,0.4816,0.4808,6.9233,6.9172,-152.8544,0.1767,0.4883,7.0,24.7573,-107.0
Aidan O'Connell,17,0.5705,0.5788,33.4896,35.0604,0.02,0.0204,-0.0956,-0.0759,0.0686,0.0719,0.4232,0.4314,6.0932,6.2025,0.5685,0.577,33.0,33.7882,0.0324,0.0307,-0.1321,-0.1187,0.0637,0.0687,0.418,0.4285,6.0131,6.1144,150.2941,-0.055,0.4384,7.0,20.2353,-110.0
Alex Smith,16,0.6032,0.6009,36.8778,37.0822,0.0238,0.0167,0.0168,0.0244,0.0663,0.0699,0.4639,0.4755,6.4517,6.5512,0.6118,0.6113,37.7222,37.8289,0.0195,0.0177,0.0763,0.0756,0.0569,0.0636,0.4768,0.4847,6.7002,6.7489,44.9375,-0.0223,0.4477,7.0,21.9375,-102.0
Andrew Luck,18,0.6645,0.6657,42.951,43.3294,0.0233,0.0209,0.2134,0.2021,0.0224,0.0237,0.5249,0.5217,7.0986,6.9743,0.6645,0.6657,42.951,43.3294,0.0228,0.0233,0.2134,0.2021,0.0224,0.0237,0.5249,0.5217,7.0986,6.9743,-35.0,0.1878,0.5175,7.0,25.9444,-106.5
Andy Dalton,62,0.5898,0.5892,38.0508,38.0633,0.0253,0.0245,0.0298,0.0254,0.0595,0.0601,0.4624,0.463,6.4476,6.4523,0.5856,0.5855,36.847,37.0776,0.0244,0.0258,0.0028,-0.0081,0.0626,0.0645,0.4583,0.4583,6.374,6.3146,109.6935,0.0009,0.4619,7.0,21.1129,-106.0
Anthony Brown,1,,,,,,,,,,,,,,,0.5704,0.629,25.6667,26.4,0.026,0.0216,-0.0723,-0.0197,0.0425,0.0478,0.3906,0.4143,5.7123,5.9146,474.0,-0.2668,0.3125,7.0,16.0,105.0
Anthony Richardson,10,0.526,0.5256,35.9074,37.0019,0.0278,0.024,0.0443,0.0603,0.0638,0.0676,0.4251,0.4339,6.9938,6.8092,0.5492,0.5508,32.2,33.26,0.031,0.0331,-0.0064,-0.0475,0.0584,0.0669,0.4184,0.4108,6.5335,6.3621,8.8,0.0536,0.4186,7.0,21.2,-110.0
Bailey Zappe,9,0.6107,0.6155,29.0,27.7056,0.029,0.0298,-0.1335,-0.1009,0.0934,0.0925,0.4084,0.4216,6.7162,6.828,0.5876,0.5855,32.0741,33.4444,0.04,0.0382,-0.2025,-0.1709,0.0922,0.0853,0.4081,0.4189,6.0722,6.0228,314.6667,-0.1551,0.3899,7.0,18.3333,-108.0
Baker Mayfield,108,0.595,0.5944,36.1728,36.1488,0.0199,0.0221,0.124,0.1216,0.0652,0.065,0.4705,0.4697,6.9579,6.9498,0.5979,0.5957,36.5309,36.7299,0.0231,0.0233,0.1226,0.1155,0.0633,0.0633,0.4733,0.4714,6.9146,6.8907,-14.3889,0.1217,0.4711,7.0,23.4074,-105.5
Ben DiNucci,1,,,,,,,,,,,,,,,0.5473,0.584,35.3333,46.4,0.042,0.0351,-0.1122,-0.0094,0.0721,0.0591,0.4786,0.4984,5.2071,6.3169,335.0,-0.5191,0.4222,7.0,9.0,-100.0
Ben Roethlisberger,51,0.6286,0.6287,43.1224,43.3619,0.0187,0.0179,0.133,0.1389,0.0393,0.0394,0.4773,0.4798,6.5879,6.6559,0.6216,0.6219,42.6867,42.4987,0.019,0.0195,0.1274,0.1322,0.0395,0.0408,0.4705,0.472,6.5408,6.5991,-101.7647,0.125,0.4734,7.0,24.2353,-105.0
Blaine Gabbert,5,0.5764,0.5734,28.9583,29.675,0.0333,0.033,-0.1718,-0.1919,0.0167,0.0149,0.3863,0.3808,5.8454,5.6216,0.6034,0.5951,31.2333,33.02,0.0267,0.0267,-0.0466,-0.0664,0.038,0.0394,0.4217,0.4186,6.1329,6.1236,213.4,-0.1013,0.4269,7.0,15.2,-114.0
Blake Bortles,12,0.5652,0.5683,42.4167,42.7767,0.0257,0.0239,0.007,-0.0003,0.0607,0.0546,0.44,0.4374,6.37,6.3497,0.5671,0.5709,41.9242,41.7606,0.0221,0.0244,-0.0343,-0.0314,0.071,0.0632,0.4469,0.4419,6.0493,6.0878,-33.0,-0.0493,0.435,7.0,16.6667,-106.0
Bo Nix,18,0.6228,0.6158,38.4314,38.6108,0.0101,0.0199,0.0301,0.0076,0.038,0.0378,0.427,0.4204,6.0778,5.9732,0.6169,0.609,38.037,37.9222,0.0192,0.0181,0.0484,0.0404,0.0446,0.0465,0.4342,0.4334,6.2674,6.2531,-13.0556,0.065,0.4434,7.0,24.0,-112.0
Brandon Allen,10,0.5181,0.5024,31.5741,31.5019,0.0246,0.0228,-0.0802,-0.0815,0.0783,0.0872,0.4158,0.4049,6.0794,6.0804,0.5892,0.5922,34.6,35.5,0.008,0.0145,0.0547,0.0398,0.0783,0.0748,0.451,0.4506,6.494,6.5992,277.9,-0.1772,0.3898,7.0,14.7,-111.0
Brett Rypien,4,0.5871,0.5871,35.9444,35.9444,0.059,0.059,0.0736,0.0736,0.0294,0.0294,0.5019,0.5019,6.7637,6.7637,0.5409,0.5526,34.8333,36.6,0.0163,0.0135,-0.0783,-0.0174,0.0902,0.0838,0.3961,0.4083,6.5859,6.4133,64.5,-0.1176,0.4347,6.5,18.25,-105.0
Brian Hoyer,4,0.5242,0.5242,33.9444,33.9444,0.0486,0.0486,-0.3278,-0.3278,0.0914,0.0914,0.3985,0.3985,5.2841,5.2841,0.6145,0.6027,35.1667,35.95,0.0274,0.0335,0.0589,0.0394,0.0684,0.0533,0.506,0.4891,7.0,6.813,-2.0,-0.2999,0.4086,7.0,14.5,-112.0
Brock Osweiler,5,0.6094,0.6137,40.0417,40.6875,0.0232,0.0232,0.113,0.1303,0.0524,0.0462,0.4569,0.4646,7.3936,7.559,0.5825,0.5928,35.4,33.16,0.0294,0.0302,-0.0692,-0.0826,0.0692,0.0716,0.4189,0.423,6.6567,6.8815,208.0,-0.0638,0.4091,7.0,20.0,-112.0
Brock Purdy,42,0.6354,0.6364,32.6825,32.6143,0.012,0.018,0.2707,0.271,0.0557,0.0554,0.5205,0.5218,8.2965,8.2706,0.629,0.6316,31.9524,31.9667,0.0171,0.0167,0.2513,0.254,0.0582,0.0574,0.5124,0.516,8.2086,8.1763,-339.6905,0.2706,0.5225,7.0,27.1667,-110.0
Bryce Perkins,1,,,,,,,,,,,,,,,0.5379,0.6014,30.0,32.0,0.0085,0.011,-0.0982,-0.0237,0.0853,0.0682,0.3921,0.4601,6.3756,6.3822,768.0,-0.3185,0.3103,7.0,10.0,-115.0
Bryce Young,24,0.5356,0.5387,38.7391,38.9971,0.0188,0.0175,-0.1584,-0.1475,0.0952,0.0912,0.3891,0.3923,5.0076,5.0001,0.5433,0.5436,38.6806,38.6,0.0239,0.0215,-0.13,-0.0999,0.0906,0.0859,0.4084,0.4109,5.3573,5.4219,227.1667,-0.1346,0.3928,7.0,15.2917,-110.0
