game_id,season,game_type,week_x,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,week_y,passer_id_x,passer_x,dropbacks_x,attempts_x,completions_x,interceptions_x,sacks_x,scrambles_x,pass_yards_x,qb_epa_total_x,qb_epa_per_play_x,success_rate_x,cpoe_mean_x,primary_qb_low_sample_x,comp_pct_x,int_rate_x,sack_rate_x,ypa_x,TEAM_qb_epa_per_play_L3_x,TEAM_success_rate_L3_x,TEAM_comp_pct_L3_x,TEAM_int_rate_L3_x,TEAM_sack_rate_L3_x,TEAM_ypa_L3_x,TEAM_dropbacks_L3_x,TEAM_qb_epa_per_play_L5_x,TEAM_success_rate_L5_x,TEAM_comp_pct_L5_x,TEAM_int_rate_L5_x,TEAM_sack_rate_L5_x,TEAM_ypa_L5_x,TEAM_dropbacks_L5_x,week,passer_id_y,passer_y,dropbacks_y,attempts_y,completions_y,interceptions_y,sacks_y,scrambles_y,pass_yards_y,qb_epa_total_y,qb_epa_per_play_y,success_rate_y,cpoe_mean_y,primary_qb_low_sample_y,comp_pct_y,int_rate_y,sack_rate_y,ypa_y,TEAM_qb_epa_per_play_L3_y,TEAM_success_rate_L3_y,TEAM_comp_pct_L3_y,TEAM_int_rate_L3_y,TEAM_sack_rate_L3_y,TEAM_ypa_L3_y,TEAM_dropbacks_L3_y,TEAM_qb_epa_per_play_L5_y,TEAM_success_rate_L5_y,TEAM_comp_pct_L5_y,TEAM_int_rate_L5_y,TEAM_sack_rate_L5_y,TEAM_ypa_L5_y,TEAM_dropbacks_L5_y,week_QB_HOME,home_passer_id,home_passer,dropbacks,attempts,completions,interceptions,sacks,scrambles,pass_yards,qb_epa_total,qb_epa_per_play,success_rate,cpoe_mean,primary_qb_low_sample,comp_pct,int_rate,sack_rate,ypa,QB_qb_epa_per_play_L3,QB_success_rate_L3,QB_comp_pct_L3,QB_int_rate_L3,QB_sack_rate_L3,QB_ypa_L3,QB_dropbacks_L3,QB_qb_epa_per_play_L5,QB_success_rate_L5,QB_comp_pct_L5,QB_int_rate_L5,QB_sack_rate_L5,QB_ypa_L5,QB_dropbacks_L5,week_QB_AWAY,away_passer_id,away_passer,dropbacks_QB_AWAY,attempts_QB_AWAY,completions_QB_AWAY,interceptions_QB_AWAY,sacks_QB_AWAY,scrambles_QB_AWAY,pass_yards_QB_AWAY,qb_epa_total_QB_AWAY,qb_epa_per_play_QB_AWAY,success_rate_QB_AWAY,cpoe_mean_QB_AWAY,primary_qb_low_sample_QB_AWAY,comp_pct_QB_AWAY,int_rate_QB_AWAY,sack_rate_QB_AWAY,ypa_QB_AWAY,QB_qb_epa_per_play_L3_QB_AWAY,QB_success_rate_L3_QB_AWAY,QB_comp_pct_L3_QB_AWAY,QB_int_rate_L3_QB_AWAY,QB_sack_rate_L3_QB_AWAY,QB_ypa_L3_QB_AWAY,QB_dropbacks_L3_QB_AWAY,QB_qb_epa_per_play_L5_QB_AWAY,QB_success_rate_L5_QB_AWAY,QB_comp_pct_L5_QB_AWAY,QB_int_rate_L5_QB_AWAY,QB_sack_rate_L5_QB_AWAY,QB_ypa_L5_QB_AWAY,QB_dropbacks_L5_QB_AWAY
2022_01_BUF_LA,2022,REG,1,2022-09-08,Thursday,20:20,BUF,31.0,LA,10.0,Home,-21.0,41.0,0.0,2022090800,58838.0,,202209080ram,,401437654,5879.0,7,7,-117.0,106.0,-1.0,-112.0,101.0,51.5,-101.0,-111.0,0,dome,matrixturf,,,00-0034857,00-0026498,Josh Allen,Matthew Stafford,Sean McDermott,Sean McVay,Carl Cheffers,LAX01,SoFi Stadium,1.0,00-0026498,M.Stafford,49.0,48.0,29.0,3.0,7.0,1.0,240.0,-15.416431,-0.30832863,0.44,-0.48546597,0.0,0.6041666666666666,0.0625,0.1428571428571428,5.0,0.3173689991235733,0.5676412664747765,0.6655236016938144,0.0229652144545761,0.0460594315245478,7.764307796222691,43.66666666666666,0.3675280421972274,0.5458479177796028,0.6572721189742466,0.0245899394835565,0.0641864954655652,8.189515608664545,37.8,1.0,00-0034857,J.Allen,38.0,33.0,26.0,2.0,2.0,5.0,297.0,20.126099,0.5296342,0.631578947368421,9.245872,0.0,0.7878787878787878,0.0606060606060606,0.0526315789473684,9.0,0.48869206259648,0.5468000833854493,0.6827777777777776,0.0,0.016260162601626,8.618703703703703,39.66666666666666,0.3724718116223812,0.5367613687125882,0.6161481481481481,0.0222222222222222,0.0097560975609756,7.368444444444444,40.0,1.0,00-0026498,M.Stafford,49.0,48.0,29.0,3.0,7.0,1.0,240.0,-15.416431,-0.30832863,0.44,-0.48546597,0.0,0.6041666666666666,0.0625,0.1428571428571428,5.0,0.3173689991235733,0.5676412664747765,0.6655236016938145,0.0229652144545761,0.0460594315245478,7.764307796222693,43.66666666666666,0.3675280421972274,0.5458479177796028,0.6572721189742466,0.0245899394835565,0.0641864954655652,8.189515608664545,37.8,1.0,00-0034857,J.Allen,38.0,33.0,26.0,2.0,2.0,5.0,297.0,20.126099,0.5296342,0.631578947368421,9.245872,0.0,0.7878787878787878,0.0606060606060606,0.0526315789473684,9.0,0.48869206259648,0.5468000833854493,0.6827777777777776,0.0,0.016260162601626,8.618703703703703,39.66666666666666,0.3724718116223812,0.5367613687125882,0.6161481481481481,0.0222222222222222,0.0097560975609756,7.368444444444444,40.0
2022_01_NO_ATL,2022,REG,1,2022-09-11,Sunday,13:00,NO,27.0,ATL,26.0,Home,-1.0,53.0,0.0,2022091100,58839.0,,202209110atl,,401437650,5880.0,7,7,-228.0,201.0,-6.0,-103.0,-107.0,43.5,-104.0,-108.0,1,closed,fieldturf,,,00-0031503,00-0032268,Jameis Winston,Marcus Mariota,Dennis Allen,Arthur Smith,Alex Kemp,ATL97,Mercedes-Benz Stadium,1.0,00-0032268,M.Mariota,37.0,32.0,20.0,0.0,0.0,5.0,215.0,7.686492,0.19708954,0.5897435897435898,-5.6957874,0.0,0.625,0.0,0.0,6.71875,-0.0197981546322504,0.4478114478114477,0.5621693121693122,0.0092592592592592,0.1196196196196196,6.999559082892415,31.33333333333333,0.0009561151266098,0.4261062235255783,0.5769074986316366,0.0055555555555555,0.0871563871563871,6.858651705893085,32.4,1.0,00-0031503,J.Winston,39.0,37.0,23.0,0.0,4.0,2.0,269.0,3.545062,0.08862655,0.5,5.788842,0.0,0.6216216216216216,0.0,0.1025641025641025,7.27027027027027,-0.2090481333434581,0.3987982289690069,0.5327380952380952,0.0238095238095238,0.1305555555555555,5.729166666666667,26.0,-0.108672235161066,0.4130884611909279,0.5342980295566503,0.0142857142857142,0.1138888888888888,5.957902298850575,27.0,1.0,00-0032268,M.Mariota,37.0,32.0,20.0,0.0,0.0,5.0,215.0,7.686492,0.19708954,0.5897435897435898,-5.6957874,0.0,0.625,0.0,0.0,6.71875,0.0085680385430653,0.4451992753623188,0.4814814814814814,0.0440917107583774,0.101010101010101,6.049382716049383,27.666666666666668,0.0389174357056617,0.4210604519168986,0.5160997732426303,0.0264550264550264,0.094568324757004,6.551927437641723,32.8,1.0,00-0031503,J.Winston,39.0,37.0,23.0,0.0,4.0,2.0,269.0,3.545062,0.08862655,0.5,5.788842,0.0,0.6216216216216216,0.0,0.1025641025641025,7.27027027027027,0.2615464006861051,0.5097883597883598,0.573797982765374,0.0104166666666666,0.0358680057388809,8.18161231884058,32.666666666666664,0.0954972371459007,0.4533531219738116,0.5372275076079424,0.0216346153846153,0.0731691550916802,6.8294802118171685,30.4
2022_01_CLE_CAR,2022,REG,1,2022-09-11,Sunday,13:00,CLE,26.0,CAR,24.0,Home,-2.0,50.0,0.0,2022091101,58840.0,,202209110car,,401437651,5881.0,7,7,114.0,-125.0,2.5,-112.0,102.0,42.5,-113.0,100.0,0,outdoors,grass,,,00-0033119,00-0034855,Jacoby Brissett,Baker Mayfield,Kevin Stefanski,Matt Rhule,Brad Rogers,CAR00,Bank of America Stadium,1.0,00-0034855,B.Mayfield,32.0,31.0,16.0,1.0,4.0,1.0,235.0,2.927501,0.083642885,0.3714285714285714,-6.8147697,0.0,0.5161290322580645,0.032258064516129,0.125,7.580645161290323,-0.2645077755053838,0.3714814814814814,0.5303030303030303,0.0176767676767676,0.1182689291932989,4.751683501683504,40.0,-0.2433318257331848,0.4014145299145299,0.5269027484143762,0.0235905567300916,0.0963526618638054,5.059924829692272,38.2,1.0,00-0033119,J.Brissett,36.0,33.0,18.0,0.0,1.0,3.0,147.0,-2.0373266,-0.04969089,0.3902439024390244,-2.1445396,0.0,0.5454545454545454,0.0,0.0277777777777777,4.454545454545454,-0.1143680680543184,0.4241598996500957,0.5068085106382979,0.0592637622424856,0.1136053689348263,5.420628166160081,39.333333333333336,-0.0194859188050031,0.4530924310181276,0.5795161408657374,0.0418082573454913,0.0681632213608957,5.453670003144325,36.4,1.0,00-0034855,B.Mayfield,32.0,31.0,16.0,1.0,4.0,1.0,235.0,2.927501,0.083642885,0.3714285714285714,-6.8147697,0.0,0.5161290322580645,0.032258064516129,0.125,7.580645161290323,-0.0296701236317555,0.43910466898083,0.5093085106382981,0.0563470955758189,0.1012596899224806,5.053128166160082,42.0,-0.0297662233933806,0.4186006460000268,0.497892798690671,0.0471415906788247,0.0770058139534883,5.471876899696048,39.6,1.0,00-0033119,J.Brissett,36.0,33.0,18.0,0.0,1.0,3.0,147.0,-2.0373266,-0.04969089,0.3902439024390244,-2.1445396,0.0,0.5454545454545454,0.0,0.0277777777777777,4.454545454545454,-0.0273027081663409,0.4530864197530864,0.5453495440729483,0.0221209050996285,0.0772283272283272,5.993036136440392,38.66666666666666,0.0065762223675847,0.4551132841210494,0.5739120437343216,0.0132725430597771,0.0704973973395026,5.645019542826802,41.6
2022_01_SF_CHI,2022,REG,1,2022-09-11,Sunday,13:00,SF,10.0,CHI,19.0,Home,9.0,29.0,0.0,2022091102,58841.0,,202209110chi,,401437647,5882.0,7,7,-248.0,217.0,-6.5,100.0,-111.0,38.0,-103.0,-109.0,0,outdoors,grass,,,00-0037012,00-0036945,Trey Lance,Justin Fields,Kyle Shanahan,Matt Eberflus,Clay Martin,CHI98,Soldier Field,1.0,00-0036945,J.Fields,23.0,19.0,8.0,1.0,2.0,4.0,121.0,2.456214,0.10234225,0.375,-11.343654,0.0,0.4210526315789473,0.0526315789473684,0.0869565217391304,6.368421052631579,-0.0523756767312685,0.4443865276663993,0.563095238095238,0.0211640211640211,0.090550014811889,5.619708994708996,45.66666666666666,-0.0528685580939054,0.4496106400040949,0.5675435540069687,0.0241269841269841,0.0766758127293983,6.042069299264421,45.2,1.0,00-0037012,T.Lance,34.0,30.0,13.0,1.0,2.0,4.0,164.0,-10.973385,-0.30481625,0.3333333333333333,-13.172443,0.0,0.4333333333333333,0.0333333333333333,0.0588235294117647,5.466666666666667,-0.024720678726832,0.4313520509757069,0.5566616691654174,0.0393203398300849,0.0579710144927536,6.858550724637681,26.33333333333333,0.0775203093886375,0.4535824724154894,0.6026244524796425,0.0436902431137372,0.0601219752114892,8.048953964194373,27.8,1.0,00-0036945,J.Fields,23.0,19.0,8.0,1.0,2.0,4.0,121.0,2.456214,0.10234225,0.375,-11.343654,0.0,0.4210526315789473,0.0526315789473684,0.0869565217391304,6.368421052631579,-0.0243423810849587,0.4431759211209133,0.559894018583043,0.0294642857142857,0.0642700334308018,7.48165650406504,42.0,-0.0767108518630266,0.44794018470718,0.5807392785333383,0.0407968509984639,0.0776794917340923,6.640248382725763,41.6,1.0,00-0037012,T.Lance,34.0,30.0,13.0,1.0,2.0,4.0,164.0,-10.973385,-0.30481625,0.3333333333333333,-13.172443,0.0,0.4333333333333333,0.0333333333333333,0.0588235294117647,5.466666666666667,0.1420013643801212,0.4064327485380117,0.575268817204301,0.0369623655913978,0.0478021978021978,8.284274193548388,30.5,0.1420013643801212,0.4064327485380117,0.575268817204301,0.0369623655913978,0.0478021978021978,8.284274193548388,30.5
2022_01_PIT_CIN,2022,REG,1,2022-09-11,Sunday,13:00,PIT,23.0,CIN,20.0,Home,-3.0,43.0,1.0,2022091103,58842.0,,202209110cin,,401437634,5883.0,7,7,264.0,-308.0,7.5,-119.0,107.0,44.5,101.0,-113.0,1,outdoors,fieldturf,,,00-0033869,00-0036442,Mitch Trubisky,Joe Burrow,Mike Tomlin,Zac Taylor,Shawn Hochuli,CIN00,Paycor Stadium,1.0,00-0036442,J.Burrow,66.0,61.0,33.0,4.0,7.0,5.0,338.0,-9.618356,-0.1354698,0.4929577464788732,-0.52843,0.0,0.5409836065573771,0.0655737704918032,0.106060606060606,5.540983606557377,-0.0020369266470273,0.4489218805231531,0.5824074074074074,0.0157407407407407,0.129879898394535,6.852777777777778,43.333333333333336,0.0030232980847358,0.4150674140281775,0.5710130718954248,0.0094444444444444,0.112568461912538,6.267222222222222,40.0,1.0,00-0033869,M.Trubisky,40.0,38.0,21.0,0.0,1.0,3.0,194.0,-3.627695,-0.086373694,0.3809523809523809,-6.2415366,0.0,0.5526315789473685,0.0,0.025,5.105263157894737,-0.1133920736610889,0.3704830917874396,0.5990338164251208,0.0143518518518518,0.0357890499194847,4.219545088566829,46.333333333333336,-0.127562116831541,0.3929629319955407,0.5980303284651111,0.0140165165165165,0.053712812191073,4.448329369742414,40.8,1.0,00-0036442,J.Burrow,66.0,61.0,33.0,4.0,7.0,5.0,338.0,-9.618356,-0.1354698,0.4929577464788732,-0.52843,0.0,0.5409836065573771,0.0655737704918032,0.106060606060606,5.540983606557377,-0.0020369266470273,0.4489218805231529,0.5824074074074074,0.0157407407407407,0.129879898394535,6.852777777777778,43.333333333333336,0.1740903630852699,0.4773531283138919,0.622312661498708,0.0094444444444444,0.1068168279256099,7.541640826873385,42.2,1.0,00-0033869,M.Trubisky,40.0,38.0,21.0,0.0,1.0,3.0,194.0,-3.627695,-0.086373694,0.3809523809523809,-6.2415366,0.0,0.5526315789473685,0.0,0.025,5.105263157894737,0.0778010226786136,0.5063131313131312,0.6891472868217053,0.0170111972437553,0.0262803473329789,6.618303186907838,38.66666666666666,0.1529392324388027,0.5576340326340326,0.6831853417899929,0.0192976274371623,0.0388451314767104,7.290678881841673,36.2
2022_01_PHI_DET,2022,REG,1,2022-09-11,Sunday,13:00,PHI,38.0,DET,35.0,Home,-3.0,73.0,0.0,2022091104,58843.0,,202209110det,,401437648,5884.0,7,7,-240.0,211.0,-6.0,-110.0,-100.0,49.0,-117.0,104.0,0,dome,fieldturf,,,00-0036389,00-0033106,Jalen Hurts,Jared Goff,Nick Sirianni,Dan Campbell,Brad Allen,DET00,Ford Field,1.0,00-0033106,J.Goff,39.0,38.0,21.0,1.0,1.0,1.0,215.0,1.5092281,0.036810443,0.3902439024390244,-10.82864,0.0,0.5526315789473685,0.0263157894736842,0.0256410256410256,5.657894736842105,0.2100990532586971,0.4881597013313586,0.654083025400313,0.0361197110423116,0.010752688172043,6.690718732314658,34.666666666666664,0.2084503930062055,0.4986101065131009,0.659522985971895,0.0265498754058748,0.0302611367127496,6.606068870050815,34.8,1.0,00-0036389,J.Hurts,44.0,33.0,18.0,0.0,1.0,11.0,243.0,13.422305,0.29178923,0.5,-6.308889,0.0,0.5454545454545454,0.0,0.0227272727272727,7.363636363636363,0.0804817757258812,0.4242255062944717,0.5477143810477144,0.0235017626321974,0.0506786500366838,6.187216201708956,38.66666666666666,0.0846088491380214,0.4386262128675922,0.5798929964447206,0.0209976093034563,0.0558238566886769,7.080375698036868,35.6,1.0,00-0033106,J.Goff,39.0,38.0,21.0,1.0,1.0,1.0,215.0,1.5092281,0.036810443,0.3902439024390244,-10.82864,0.0,0.5526315789473685,0.0263157894736842,0.0256410256410256,5.657894736842105,0.2520458251237869,0.514900153609831,0.6709284028324154,0.008130081300813,0.0504352278545827,6.878535836049605,33.666666666666664,0.1771463975310325,0.5069198901456966,0.6831431222855298,0.0096399535423925,0.0519069327771503,6.852029926538188,34.0,1.0,00-0036389,J.Hurts,44.0,33.0,18.0,0.0,1.0,11.0,243.0,13.422305,0.29178923,0.5,-6.308889,0.0,0.5454545454545454,0.0,0.0227272727272727,7.363636363636363,0.0804145044336716,0.4222413793103448,0.5654320987654321,0.0144927536231884,0.0367897611477949,6.722651637144391,35.333333333333336,-0.026522546634078,0.4212592660888806,0.5675128743871791,0.0349470426077283,0.046884462749283,6.907228357147591,34.2
2022_01_IND_HOU,2022,REG,1,2022-09-11,Sunday,13:00,IND,20.0,HOU,20.0,Home,0.0,40.0,1.0,2022091105,58844.0,,202209110htx,,401437637,5885.0,7,7,-290.0,250.0,-7.0,-103.0,-107.0,46.0,-110.0,-102.0,1,closed,astroturf,,,00-0026143,00-0036898,Matt Ryan,Davis Mills,Frank Reich,Lovie Smith,Land Clark,HOU00,NRG Stadium,1.0,00-0036898,D.Mills,40.0,40.0,23.0,0.0,3.0,0.0,240.0,-2.4016018,-0.057180993,0.4761904761904761,-5.7674875,0.0,0.575,0.0,0.075,6.0,0.201673075556755,0.4757973733583489,0.662962962962963,0.0095238095238095,0.0567765567765568,7.363227513227514,34.333333333333336,0.1244308605790138,0.4664692074251476,0.6523584229390681,0.0121658986175115,0.0482098546614675,7.090323604710702,37.2,1.0,00-0026143,M.Ryan,54.0,52.0,32.0,1.0,2.0,2.0,352.0,5.620059,0.100358196,0.4821428571428571,-4.174334,0.0,0.6153846153846154,0.0192307692307692,0.037037037037037,6.769230769230769,-0.0711004734039306,0.427660129641837,0.5478835978835979,0.0092592592592592,0.0842816804997005,5.9748677248677255,33.0,-0.1232572928071022,0.4320246492136737,0.5447836704358443,0.0209401709401709,0.0731880559188679,5.835756755321973,27.4,1.0,00-0036898,D.Mills,40.0,40.0,23.0,0.0,3.0,0.0,240.0,-2.4016018,-0.057180993,0.4761904761904761,-5.7674875,0.0,0.575,0.0,0.075,6.0,0.201673075556755,0.4757973733583489,0.662962962962963,0.0095238095238095,0.0567765567765567,7.363227513227513,34.333333333333336,0.1244308605790138,0.4664692074251476,0.6523584229390681,0.0121658986175115,0.0482098546614675,7.090323604710702,37.2,1.0,00-0026143,M.Ryan,54.0,52.0,32.0,1.0,2.0,2.0,352.0,5.620059,0.100358196,0.4821428571428571,-4.174334,0.0,0.6153846153846154,0.0192307692307692,0.037037037037037,6.769230769230769,-0.0197981546322504,0.4478114478114477,0.5621693121693122,0.0092592592592592,0.1196196196196196,6.999559082892415,31.33333333333333,0.0009561151266098,0.4261062235255783,0.5769074986316366,0.0055555555555555,0.0871563871563871,6.858651705893085,32.4
2022_01_NE_MIA,2022,REG,1,2022-09-11,Sunday,13:00,NE,7.0,MIA,20.0,Home,13.0,27.0,0.0,2022091106,58845.0,,202209110mia,,401437630,5886.0,7,7,140.0,-155.0,3.0,-104.0,-106.0,47.0,-109.0,-103.0,1,outdoors,grass,,,00-0036972,00-0036212,Mac Jones,Tua Tagovailoa,Bill Belichick,Mike McDaniel,John Hussey,MIA00,Hard Rock Stadium,1.0,00-0036212,T.Tagovailoa,36.0,36.0,23.0,0.0,3.0,0.0,270.0,5.856331,0.16267586,0.5,6.916543,0.0,0.6388888888888888,0.0,0.0833333333333333,7.5,-0.0424027815461158,0.4451410658307209,0.5864389233954452,0.0198412698412698,0.0668167705056237,5.56383712905452,32.666666666666664,-0.0014083728194236,0.4844457506095437,0.6056839520439116,0.0261904761904761,0.0556325842975091,5.873185998362945,34.6,1.0,00-0036972,M.Jones,33.0,32.0,21.0,1.0,2.0,1.0,213.0,-3.4373746,-0.0982107,0.4857142857142857,2.527563,0.0,0.65625,0.03125,0.0606060606060606,6.65625,0.2946661412715912,0.550546788482835,0.6527777777777778,0.0270833333333333,0.044011544011544,7.174305555555555,35.333333333333336,0.1706345302984118,0.5154667439426575,0.589558629776021,0.0370668642951251,0.0362178011114181,6.483371212121211,37.8,1.0,00-0036212,T.Tagovailoa,36.0,36.0,23.0,0.0,3.0,0.0,270.0,5.856331,0.16267586,0.5,6.916543,0.0,0.6388888888888888,0.0,0.0833333333333333,7.5,-0.0424027815461158,0.4451410658307209,0.5864389233954451,0.0198412698412698,0.0668167705056237,5.563837129054522,32.666666666666664,-0.0014083728194236,0.4844457506095437,0.6056839520439116,0.0261904761904761,0.0556325842975091,5.873185998362945,34.6,1.0,00-0036972,M.Jones,33.0,32.0,21.0,1.0,2.0,1.0,213.0,-3.4373746,-0.0982107,0.4857142857142857,2.527563,0.0,0.65625,0.03125,0.0606060606060606,6.65625,0.2946661412715912,0.550546788482835,0.6527777777777778,0.0270833333333333,0.044011544011544,7.174305555555556,35.333333333333336,0.1706345302984118,0.5154667439426575,0.5895586297760211,0.0370668642951251,0.0362178011114181,6.483371212121211,37.8
2022_01_BAL_NYJ,2022,REG,1,2022-09-11,Sunday,13:00,BAL,24.0,NYJ,9.0,Home,-15.0,33.0,0.0,2022091107,58846.0,,202209110nyj,,401437632,5887.0,7,7,-265.0,231.0,-6.5,-103.0,-107.0,44.0,-109.0,-103.0,0,outdoors,fieldturf,,,00-0034796,00-0026158,Lamar Jackson,Joe Flacco,John Harbaugh,Robert Saleh,Craig Wrolstad,NYC01,MetLife Stadium,1.0,00-0026158,J.Flacco,62.0,62.0,37.0,1.0,3.0,0.0,309.0,-3.1942086,-0.0483971,0.4393939393939394,-3.5088832,0.0,0.5967741935483871,0.0161290322580645,0.0483870967741935,4.983870967741935,0.0120465755462646,0.368009768009768,0.4725063938618925,0.0,0.1115133232780291,4.808092802338327,30.0,-0.1147385597229004,0.3479978696848841,0.4576034531753731,0.0,0.1166528919260011,4.955047252284222,34.2,1.0,00-0034796,L.Jackson,34.0,32.0,17.0,1.0,2.0,2.0,213.0,7.8265586,0.22361596,0.4285714285714285,-3.0221906,0.0,0.53125,0.03125,0.0588235294117647,6.65625,-0.006537119547526,0.4374281369385409,0.5749812119969939,0.0372617339618774,0.0767910767910767,5.730088132814103,40.333333333333336,0.0226789101958274,0.4484066466843176,0.6100293776047004,0.0223570403771264,0.0631181243355156,5.778935574229692,43.4,1.0,00-0026158,J.Flacco,62.0,62.0,37.0,1.0,3.0,0.0,309.0,-3.1942086,-0.0483971,0.4393939393939394,-3.5088832,0.0,0.5967741935483871,0.0161290322580645,0.0483870967741935,4.983870967741935,0.2435493708277742,0.5160875160875161,0.5871815045693881,0.0235732009925558,0.0391101953601953,7.929129092779761,33.333333333333336,0.0816493721678853,0.4572406358120644,0.5445277477264353,0.0183992397444696,0.0464884849193359,6.663252531655698,37.2,1.0,00-0034796,L.Jackson,34.0,32.0,17.0,1.0,2.0,2.0,213.0,7.8265586,0.22361596,0.4285714285714285,-3.0221906,0.0,0.53125,0.03125,0.0588235294117647,6.65625,-0.03549075871706,0.4499866613311992,0.5590413943355119,0.0540305010893246,0.0939327485380117,5.254684095860565,44.66666666666666,-0.0552564054727554,0.4283652025403462,0.5414854426619133,0.0415092097445038,0.0914899276493119,5.789679144385026,45.8
2022_01_JAX_WAS,2022,REG,1,2022-09-11,Sunday,13:00,JAX,22.0,WAS,28.0,Home,6.0,50.0,0.0,2022091109,58847.0,,202209110was,,401437646,5888.0,7,7,143.0,-159.0,3.0,-101.0,-110.0,43.5,-110.0,-102.0,0,outdoors,grass,,,00-0036971,00-0032950,Trevor Lawrence,Carson Wentz,Doug Pederson,Ron Rivera,Tra Blake,WAS00,FedExField,1.0,00-0032950,C.Wentz,47.0,44.0,27.0,2.0,1.0,3.0,313.0,12.076572,0.23224178,0.4807692307692308,-0.12644063,0.0,0.6136363636363636,0.0454545454545454,0.0212765957446808,7.113636363636363,-0.3860837072134018,0.3824992265771875,0.4629493313703841,0.034412955465587,0.1197603121516164,5.536130536130536,29.666666666666668,-0.367773188650608,0.3573986956101781,0.4748437889998688,0.0275443250034901,0.1097838510250852,5.3388152077807245,30.6,1.0,00-0036971,T.Lawrence,46.0,45.0,24.0,1.0,2.0,1.0,275.0,2.8570178,0.057140354,0.5,2.0385249,0.0,0.5333333333333333,0.0222222222222222,0.0434782608695652,6.111111111111111,0.0345550974210103,0.5011120301442882,0.6443921978404736,0.0344827586206896,0.0385165735878413,6.804249390456287,36.66666666666666,-0.0906488627195358,0.4375144134444066,0.6082632256810283,0.0392943063352044,0.0513804541305319,6.160456611017958,39.0,1.0,00-0032950,C.Wentz,47.0,44.0,27.0,2.0,1.0,3.0,313.0,12.076572,0.23224178,0.4807692307692308,-0.12644063,0.0,0.6136363636363636,0.0454545454545454,0.0212765957446808,7.113636363636363,-0.0711004734039306,0.4276601296418369,0.5478835978835979,0.0092592592592592,0.0842816804997005,5.9748677248677255,33.0,-0.1232572928071022,0.4320246492136737,0.5447836704358443,0.0209401709401709,0.0731880559188679,5.835756755321973,27.4,1.0,00-0036971,T.Lawrence,46.0,45.0,24.0,1.0,2.0,1.0,275.0,2.8570178,0.057140354,0.5,2.0385249,0.0,0.5333333333333333,0.0222222222222222,0.0434782608695652,6.111111111111111,0.0345550974210103,0.5011120301442882,0.6443921978404736,0.0344827586206896,0.0385165735878414,6.804249390456287,36.66666666666666,-0.0906488627195358,0.4375144134444065,0.6082632256810284,0.0392943063352044,0.0513804541305319,6.160456611017958,39.0
